TYPE,YEAR,MONTH,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Mischief,2015,3,26XX E 49TH AVE,Victoria-Fraserview,496065.581256,5452452.21332
Theft from Vehicle,2015,12,34XX WILLIAM ST,Hastings-Sunrise,497850.8008,5457932.703480002
Theft from Vehicle,2015,4,34XX WILLIAM ST,Hastings-Sunrise,497879.450446,5457923.32039
Theft from Vehicle,2015,10,34XX WILLIAM ST,Hastings-Sunrise,497901.62345,5457932.27994
Theft from Vehicle,2015,9,34XX WILLIAM ST,Hastings-Sunrise,497921.510576,5457932.11421
Mischief,2015,8,26XX E 24TH AVE,Renfrew-Collingwood,496260.101745,5455121.986819998
Other Theft,2015,11,8XX HORNBY ST,Central Business District,491120.406852,5458865.8317800015
Theft from Vehicle,2015,7,34XX WORTHINGTON DR,Renfrew-Collingwood,497884.023946,5455686.229669998
Other Theft,2015,11,8XX HORNBY ST,Central Business District,491122.56441800005,5458868.0119
Theft from Vehicle,2015,10,34XX WORTHINGTON DR,Renfrew-Collingwood,497889.558924,5455680.68777
Mischief,2015,11,26XX E 21ST AVE,Renfrew-Collingwood,496293.23940600007,5455416.631080002
Mischief,2015,7,26XX E 18TH AVE,Renfrew-Collingwood,496223.8698770001,5455693.5750400005
Mischief,2015,6,26XX DUKE ST,Renfrew-Collingwood,496281.8773300001,5454098.04583
Mischief,2015,1,26XX COMMERCIAL DR,Kensington-Cedar Cottage,494915.32177,5456473.12108
Other Theft,2015,1,1XX W PENDER ST,Central Business District,492154.689525,5458707.75871
Mischief,2015,11,26XX CAROLINA ST,Mount Pleasant,493369.713245,5456493.79954
Mischief,2015,12,26XX ALBERTA ST,Mount Pleasant,491928.209001,5456557.37581
Theft of Vehicle,2015,11,8XX E 28TH AVE,Kensington-Cedar Cottage,493684.224495,5454753.61364
Mischief,2015,4,26XX ADANAC ST,Hastings-Sunrise,496237.249096,5458307.45129
Mischief,2015,7,25XX YALE ST,Hastings-Sunrise,496152.849365,5459772.71902
Other Theft,2015,10,16XX JOHNSTON ST,Fairview,490131.352759,5457743.78834
Theft from Vehicle,2015,6,34XX YARDLEY AVE,Renfrew-Collingwood,497713.224628,5454130.9553
Other Theft,2015,6,39XX W 18TH AVE,Dunbar-Southlands,486058.054619,5455983.66358
Other Theft,2015,4,8XX HORNBY ST,Central Business District,491142.009153,5458874.66058
Other Theft,2015,4,8XX HORNBY ST,Central Business District,491142.009153,5458874.66058
Other Theft,2015,5,8XX HORNBY ST,Central Business District,491142.009153,5458874.66058
Other Theft,2015,6,8XX HORNBY ST,Central Business District,491142.009153,5458874.66058
Other Theft,2015,10,8XX HORNBY ST,Central Business District,491142.009153,5458874.66058
Mischief,2015,4,25XX WALL ST,Hastings-Sunrise,496050.840962,5459830.8926800005
Mischief,2015,3,25XX WALL ST,Hastings-Sunrise,496050.840962,5459830.8926800005
Mischief,2015,3,25XX WALL ST,Hastings-Sunrise,496043.148547,5459818.84428
Mischief,2015,7,25XX W 6TH AVE,Kitsilano,488131.111807,5457106.17588
Mischief,2015,4,25XX W 4TH AVE,Kitsilano,488187.562034,5457288.85141
Theft from Vehicle,2015,2,35XX ADANAC ST,Hastings-Sunrise,498034.14111400006,5458292.65266
Theft from Vehicle,2015,2,35XX ADANAC ST,Hastings-Sunrise,498034.14111400006,5458292.65266
Theft from Vehicle,2015,7,35XX ADANAC ST,Hastings-Sunrise,498034.14111400006,5458292.65266
Theft from Vehicle,2015,9,35XX ADANAC ST,Hastings-Sunrise,498034.14111400006,5458292.65266
Theft from Vehicle,2015,10,35XX ADANAC ST,Hastings-Sunrise,498034.14111400006,5458292.65266
Theft from Vehicle,2015,12,35XX ADANAC ST,Hastings-Sunrise,498034.14111400006,5458292.65266
Other Theft,2015,1,8XX HOWE ST,Central Business District,491166.148096,5458763.20703
Mischief,2015,12,3XX ALEXANDER ST,Strathcona,492893.91198,5459034.72956
Theft from Vehicle,2015,12,35XX ASH ST,South Cambie,491401.355198,5455722.59006
Theft from Vehicle,2015,12,35XX BELLA VISTA ST,Kensington-Cedar Cottage,494874.319153,5455552.28275
Theft from Vehicle,2015,3,35XX BELLA VISTA ST,Kensington-Cedar Cottage,494874.994623,5455612.95438
Other Theft,2015,7,8XX HOWE ST,Central Business District,491178.965367,5458775.86302
Other Theft,2015,9,8XX HOWE ST,Central Business District,491178.965367,5458775.86302
Mischief,2015,6,3XX ALEXANDER ST,Strathcona,492893.91198,5459034.72956
Other Theft,2015,8,8XX HOWE ST,Central Business District,491189.646425,5458786.40969
Other Theft,2015,11,8XX HOWE ST,Central Business District,491189.646425,5458786.40969
Other Theft,2015,1,16XX JOHNSTON ST,Fairview,490135.033475,5457739.25666
Mischief,2015,11,25XX W 14TH AVE,Kitsilano,488136.99057,5456291.83077
Theft from Vehicle,2015,6,35XX CAMBIE ST,Riley Park,491619.076437,5455631.59552
Mischief,2015,8,25XX W 13TH AVE,Kitsilano,488067.337503,5456404.7083
Mischief,2015,4,25XX W 10TH AVE,Kitsilano,488095.9217970001,5456705.43768
Theft from Vehicle,2015,7,35XX CAMBRIDGE ST,Hastings-Sunrise,497942.563888,5459322.918880002
Other Theft,2015,8,8XX JACKSON AVE,Strathcona,493187.603102,5458294.56765
Other Theft,2015,8,8XX JACKSON AVE,Strathcona,493187.603102,5458294.56765
Other Theft,2015,3,12XX E 41ST AVE,Sunset,494182.931747,5453326.33834
Other Theft,2015,10,8XX JACKSON AVE,Strathcona,493196.638045,5458290.68297
Mischief,2015,11,3XX ABBOTT ST,Central Business District,492236.093301,5458907.39931
Mischief,2015,6,25XX RENFREW ST,Renfrew-Collingwood,496770.838522,5456514.26987
Mischief,2015,7,25XX POINT GREY RD,Kitsilano,488203.564608,5457874.80574
Mischief,2015,10,25XX OXFORD ST,Hastings-Sunrise,496155.610155,5459212.1270900015
Theft from Vehicle,2015,3,35XX COPLEY ST,Kensington-Cedar Cottage,495794.3026979999,5455337.17111
Theft from Vehicle,2015,5,35XX COPLEY ST,Kensington-Cedar Cottage,495800.690324,5455352.42412
Mischief,2015,11,25XX NANAIMO ST,Kensington-Cedar Cottage,495877.984923,5456573.38896
Other Theft,2015,10,8XX KEEFER ST,Strathcona,493697.877424,5458506.44221
Other Theft,2015,11,8XX KEEFER ST,Strathcona,493697.877424,5458506.44221
Other Theft,2015,2,8XX KEEFER ST,Strathcona,493739.706293,5458495.96145
Mischief,2015,8,25XX MAPLE ST,Kitsilano,489051.574598,5456785.3551
Other Theft,2015,5,8XX KINGSWAY AVE,Kensington-Cedar Cottage,493695.571372,5455837.24638
Theft from Vehicle,2015,12,35XX CORSICA WAY,Killarney,497971.2129310001,5450607.25533
Mischief,2015,8,25XX MAPLE ST,Kitsilano,489050.934516,5456757.98455
Other Theft,2015,7,8XX KINGSWAY AVE,Kensington-Cedar Cottage,493747.282652,5455788.48898
Mischief,2015,2,25XX MAIN ST,Mount Pleasant,492648.273548,5456622.71348
Mischief,2015,11,3XX ABBOTT ST,Central Business District,492236.093301,5458907.39931
Mischief,2015,1,25XX KINGSWAY AVE,Renfrew-Collingwood,496197.09595200006,5454050.97182
Theft from Vehicle,2015,2,NELSON ST / THURLOW ST,West End,490687.328395,5458867.535619998
Theft from Vehicle,2015,5,NELSON ST / THURLOW ST,West End,490687.328395,5458867.535619998
Mischief,2015,12,25XX KINGSWAY AVE,Renfrew-Collingwood,496094.903021,5454122.759
Mischief,2015,1,25XX GRANVILLE ST,Fairview,489923.736382,5456737.22824
Mischief,2015,9,25XX GRANVILLE ST,Fairview,489923.417806,5456762.46766
Mischief,2015,12,25XX GRANVILLE ST,Fairview,489914.323528,5456758.46926
Mischief,2015,12,25XX E HASTINGS ST,Hastings-Sunrise,496192.970207,5458708.894669998
Break and Enter Residential/Other,2015,5,28XX E 46TH AVE,Killarney,496639.573946,5452854.20415
Mischief,2015,12,25XX E HASTINGS ST,Hastings-Sunrise,496098.966534,5458718.3034
Mischief,2015,12,25XX E HASTINGS ST,Hastings-Sunrise,496071.080221,5458709.23786
Mischief,2015,6,25XX E HASTINGS ST,Hastings-Sunrise,496064.140823,5458718.40145
Mischief,2015,10,25XX E HASTINGS ST,Hastings-Sunrise,496039.737082,5458709.32611
Mischief,2015,8,25XX E HASTINGS ST,Hastings-Sunrise,496039.737082,5458709.32611
Mischief,2015,9,25XX E GEORGIA ST,Hastings-Sunrise,496194.450087,5458389.11219
Mischief,2015,3,25XX E BROADWAY AVE,Renfrew-Collingwood,496071.672507,5456580.03935
Mischief,2015,1,25XX E BROADWAY AVE,Renfrew-Collingwood,496071.672507,5456580.03935
Mischief,2015,1,25XX E BROADWAY AVE,Renfrew-Collingwood,496071.672507,5456580.03935
Other Theft,2015,7,12XX E 41ST AVE,Sunset,494145.580053,5453326.96616
Mischief,2015,5,25XX E 8TH AVE,Hastings-Sunrise,496189.077199,5456684.91195
Mischief,2015,9,3XX ABBOTT ST,Central Business District,492230.723257,5458888.49878
Mischief,2015,5,25XX E 5TH AVE,Hastings-Sunrise,496056.418574,5457001.1484400015
Mischief,2015,4,25XX E 4TH AVE,Hastings-Sunrise,496101.271634,5457098.46104
Mischief,2015,10,25XX E 2ND AVE,Hastings-Sunrise,496029.782595,5457299.4741
Mischief,2015,8,25XX E 28TH AVE,Renfrew-Collingwood,496077.232015,5454737.25352
Other Theft,2015,1,1XX W PENDER ST,Central Business District,492154.689525,5458707.75871
Mischief,2015,1,25XX E 18TH AVE,Renfrew-Collingwood,496096.927,5455694.10935
Other Theft,2015,7,8XX MALKIN AVE,Strathcona,493761.231538,5457931.02274
Other Theft,2015,8,8XX MALKIN AVE,Strathcona,493761.231538,5457931.02274
Other Theft,2015,11,8XX MALKIN AVE,Strathcona,493761.231538,5457931.02274
Mischief,2015,5,25XX COMMERCIAL DR,Kensington-Cedar Cottage,494926.3964,5456615.194130002
Theft from Vehicle,2015,1,35XX CROWLEY DR,Renfrew-Collingwood,497959.886414,5453625.85578
Theft from Vehicle,2015,4,35XX CROWLEY DR,Renfrew-Collingwood,497959.886414,5453625.85578
Theft from Vehicle,2015,10,35XX CROWLEY DR,Renfrew-Collingwood,497959.886414,5453625.85578
Theft from Vehicle,2015,10,35XX CROWLEY DR,Renfrew-Collingwood,497959.886414,5453625.85578
Theft from Vehicle,2015,10,35XX CROWLEY DR,Renfrew-Collingwood,497959.886414,5453625.85578
Other Theft,2015,8,8XX MCLEAN DR,Grandview-Woodland,494611.406168,5458317.45973
Other Theft,2015,3,8XX MILLBANK ST,Fairview,491229.870409,5457209.888780002
Theft from Vehicle,2015,10,18XX NAPIER ST,Grandview-Woodland,495093.545545,5458017.33581
Other Theft,2015,6,E 38TH AVE / FRASER ST,Riley Park,493412.277428,5453660.89791
Theft from Vehicle,2015,12,35XX DUNDAS ST,Hastings-Sunrise,498026.93491,5459117.04732
Mischief,2015,7,25XX CAMBRIDGE ST,Hastings-Sunrise,496142.185829,5459337.49457
Theft from Vehicle,2015,4,35XX DUNDAS ST,Hastings-Sunrise,498065.22502700007,5459107.75266
Mischief,2015,10,25XX CAMBRIDGE ST,Hastings-Sunrise,496040.864032,5459328.27983
Theft from Vehicle,2015,9,35XX E 11TH AVE,Renfrew-Collingwood,497942.5921430001,5456366.9664699985
Mischief,2015,5,25XX CAMBIE ST,Fairview,491632.121325,5456669.7683
Mischief,2015,3,25XX CAMBIE ST,Fairview,491631.796283,5456659.89617
Theft from Vehicle,2015,8,35XX E 22ND AVE,Renfrew-Collingwood,497932.577754,5455313.13698
Other Theft,2015,6,E 38TH AVE / FRASER ST,Riley Park,493412.277428,5453660.89791
Mischief,2015,11,25XX ALBERTA ST,Mount Pleasant,491931.859158,5456709.47737
Theft from Vehicle,2015,1,57XX DUMFRIES ST,Victoria-Fraserview,494594.453484,5453234.06344
Theft from Vehicle,2015,1,35XX E 23RD AVE,Renfrew-Collingwood,497980.599863,5455208.8740300005
Other Theft,2015,1,8XX NELSON ST,Central Business District,490916.30771,5458636.82153
Theft from Vehicle,2015,10,35XX E 26TH AVE,Renfrew-Collingwood,498034.345572,5454923.57679
Other Theft,2015,2,8XX NELSON ST,Central Business District,490916.30771,5458636.82153
Other Theft,2015,5,8XX NELSON ST,Central Business District,490916.30771,5458636.82153
Other Theft,2015,6,8XX NELSON ST,Central Business District,490916.30771,5458636.82153
Other Theft,2015,6,8XX NELSON ST,Central Business District,490916.30771,5458636.82153
Other Theft,2015,6,8XX NELSON ST,Central Business District,490916.30771,5458636.82153
Theft from Vehicle,2015,7,35XX E 27TH AVE,Renfrew-Collingwood,497999.19149,5454829.33259
Theft from Vehicle,2015,10,35XX E 27TH AVE,Renfrew-Collingwood,498027.248074,5454820.0271
Theft from Vehicle,2015,10,35XX E 27TH AVE,Renfrew-Collingwood,498027.248074,5454820.0271
Other Theft,2015,10,8XX NELSON ST,Central Business District,490916.30771,5458636.82153
Other Theft,2015,10,3XX ABBOTT ST,Central Business District,492218.705347,5458879.65756
Mischief,2015,8,24XX WALL ST,Hastings-Sunrise,495970.592283,5459805.26366
Mischief,2015,1,24XX WALL ST,Hastings-Sunrise,495909.638224,5459785.78259
Mischief,2015,8,24XX W 3RD AVE,Kitsilano,488364.364975,5457381.86485
Mischief,2015,4,24XX W 3RD AVE,Kitsilano,488364.364975,5457381.86485
Mischief,2015,2,24XX W 3RD AVE,Kitsilano,488258.024322,5457384.48343
Other Theft,2015,1,8XX NELSON ST,Central Business District,490966.650224,5458585.54372
Other Theft,2015,2,8XX NELSON ST,Central Business District,490966.650224,5458585.54372
Other Theft,2015,6,8XX NELSON ST,Central Business District,490966.650224,5458585.54372
Other Theft,2015,8,8XX NELSON ST,Central Business District,490966.650224,5458585.54372
Other Theft,2015,11,8XX NELSON ST,Central Business District,490966.650224,5458585.54372
Theft from Vehicle,2015,1,NICOLA ST / PENDRELL ST,West End,490081.92232,5459164.66521
Mischief,2015,5,24XX W 1ST AVE,Kitsilano,488221.494082,5457591.98637
Theft from Vehicle,2015,6,35XX E 45TH AVE,Killarney,497955.790134,5452943.77862
Mischief,2015,9,3XX ABBOTT ST,Central Business District,492213.872308,5458862.6470800005
Theft from Vehicle,2015,8,35XX E 47TH AVE,Killarney,497876.792458,5452628.40847
Other Theft,2015,1,8XX PACIFIC ST,Central Business District,490448.647476,5458166.9151800005
Other Theft,2015,1,8XX PACIFIC ST,Central Business District,490448.647476,5458166.9151800005
Theft from Vehicle,2015,1,35XX E 47TH AVE,Killarney,497991.593601,5452618.60725
Other Theft,2015,7,8XX PACIFIC ST,Central Business District,490448.647476,5458166.9151800005
Theft from Vehicle,2015,4,9XX RICHARDS ST,Central Business District,491307.39162700006,5458474.83452
Mischief,2015,1,24XX TRINITY ST,Hastings-Sunrise,495964.727663,5459659.06053
Theft from Vehicle,2015,3,35XX E 48TH AVE,Killarney,497863.289614,5452490.34534
Theft from Vehicle,2015,1,35XX E 48TH AVE,Killarney,497937.486397,5452489.80024
Mischief,2015,9,24XX TRANS CANADA HWY,Hastings-Sunrise,498085.463005,5459787.94213
Mischief,2015,12,24XX SPRUCE ST,Fairview,490621.759377,5456846.93722
Mischief,2015,12,24XX RUPERT ST,Hastings-Sunrise,497533.784259,5456644.3658
Mischief,2015,4,24XX RENFREW ST,Hastings-Sunrise,496780.1465020001,5456596.54265
Mischief,2015,3,24XX PANDORA ST,Hastings-Sunrise,495895.528146,5458912.83316
Offence Against a Person,2015,12,OFFSET TO PROTECT PRIVACY,,0.0,0.0
Other Theft,2015,1,8XX PRIOR ST,Strathcona,493654.528019,5458197.3295800015
Theft from Vehicle,2015,10,35XX E GEORGIA ST,Hastings-Sunrise,498067.035567,5458394.45441
Mischief,2015,8,24XX ONTARIO ST,Mount Pleasant,492375.645604,5456779.14976
Mischief,2015,1,24XX MAIN ST,Mount Pleasant,492665.720348,5456750.20141
Other Theft,2015,4,1XX W PENDER ST,Central Business District,492154.689525,5458707.75871
Mischief,2015,11,24XX MAIN ST,Mount Pleasant,492645.061336,5456769.59591
Mischief,2015,5,24XX MACDONALD ST,Kitsilano,487748.174011,5456898.77641
Mischief,2015,3,24XX KINGSWAY AVE,Renfrew-Collingwood,495912.36219,5454240.43451
Mischief,2015,7,24XX KAMLOOPS ST,Hastings-Sunrise,496014.66604,5456681.1938
Mischief,2015,6,24XX KAMLOOPS ST,Hastings-Sunrise,496014.66604,5456681.1938
Mischief,2015,3,24XX KAMLOOPS ST,Hastings-Sunrise,496014.66604,5456681.1938
Theft from Vehicle,2015,10,35XX E PENDER ST,Hastings-Sunrise,497948.895607,5458602.0677
Mischief,2015,3,24XX KAMLOOPS ST,Hastings-Sunrise,496014.66604,5456681.1938
Break and Enter Residential/Other,2015,5,28XX E 4TH AVE,Hastings-Sunrise,496599.416568,5457096.90128
Theft from Vehicle,2015,9,35XX E PENDER ST,Hastings-Sunrise,498105.050101,5458610.788319998
Mischief,2015,1,24XX GRANVILLE ST,Fairview,489925.66505,5456858.44534
Mischief,2015,7,24XX GRANVILLE ST,Fairview,489925.427471,5456849.12037
Mischief,2015,5,24XX EDDINGTON DR,Arbutus Ridge,488242.032248,5454719.56558
Mischief,2015,1,24XX E HASTINGS ST,Hastings-Sunrise,496020.500695,5458709.37669
Other Theft,2015,6,8XX RICHARDS ST,Central Business District,491424.481892,5458592.55764
Other Theft,2015,8,8XX RICHARDS ST,Central Business District,491424.481892,5458592.55764
Mischief,2015,4,24XX E HASTINGS ST,Hastings-Sunrise,495991.664412,5458709.4473
Theft from Vehicle,2015,6,35XX EUCLID AVE,Renfrew-Collingwood,497872.855915,5453555.297619998
Mischief,2015,2,24XX E 51ST AVE,Victoria-Fraserview,495804.49788900005,5452190.70947
Other Theft,2015,9,1XX W PENDER ST,Central Business District,492154.689525,5458707.75871
Mischief,2015,2,24XX E 27TH AVE,Renfrew-Collingwood,495939.8724760001,5454839.2616
Mischief,2015,7,24XX E 24TH AVE,Renfrew-Collingwood,495971.015287,5455112.9011900015
Mischief,2015,5,24XX E 24TH AVE,Renfrew-Collingwood,495880.487521,5455112.4968300015
Theft from Vehicle,2015,5,35XX FOSTER AVE,Renfrew-Collingwood,497955.298778,5453479.2697
Theft from Vehicle,2015,12,35XX FOSTER AVE,Renfrew-Collingwood,497955.298778,5453479.2697
Mischief,2015,7,24XX E 23RD AVE,Renfrew-Collingwood,495979.071851,5455212.56495
Mischief,2015,11,24XX E 19TH AVE,Renfrew-Collingwood,495916.08652,5455624.84507
Mischief,2015,7,24XX E 18TH AVE,Renfrew-Collingwood,496016.735914,5455694.42729
Mischief,2015,11,24XX E 11TH AVE,Renfrew-Collingwood,496005.044996,5456375.38622
Theft from Vehicle,2015,11,35XX FRANKLIN ST,Hastings-Sunrise,497949.847695,5458807.78379
Mischief,2015,9,24XX CORNWALL AVE,Kitsilano,488374.535547,5457774.49302
Theft from Vehicle,2015,6,32XX E 16TH AVE,Renfrew-Collingwood,497490.665854,5455862.53006
Mischief,2015,3,24XX CORNWALL AVE,Kitsilano,488223.261221,5457778.30826
Mischief,2015,5,24XX CASSIAR ST,Hastings-Sunrise,497747.632575,5456677.39924
Break and Enter Residential/Other,2015,10,28XX E BROADWAY AVE,Hastings-Sunrise,496656.688875,5456585.17144
Theft from Vehicle,2015,7,35XX FRASER ST,Kensington-Cedar Cottage,493457.719985,5455650.97976
Theft from Vehicle,2015,8,35XX FRASER ST,Kensington-Cedar Cottage,493457.719985,5455650.97976
Theft from Vehicle,2015,11,35XX FRASER ST,Kensington-Cedar Cottage,493457.719985,5455650.97976
Theft from Vehicle,2015,11,35XX FRASER ST,Kensington-Cedar Cottage,493457.719985,5455650.97976
Mischief,2015,12,23XX YORK AVE,Kitsilano,488439.13679,5457674.64388
Mischief,2015,1,23XX WOODLAND DR,Grandview-Woodland,494648.513201,5456803.945780002
Theft from Vehicle,2015,7,35XX GRANDVIEW HWY,Renfrew-Collingwood,497941.182462,5456148.66859
Theft from Vehicle,2015,7,35XX GRANDVIEW HWY,Renfrew-Collingwood,498072.774826,5456160.70214
Theft from Vehicle,2015,8,35XX GRANDVIEW HWY,Renfrew-Collingwood,498072.774826,5456160.70214
Theft from Vehicle,2015,12,35XX GRANDVIEW HWY,Renfrew-Collingwood,498072.774826,5456160.70214
Other Theft,2015,4,8XX ROBSON ST,Central Business District,491204.839572,5458814.68905
Other Theft,2015,5,8XX ROBSON ST,Central Business District,491204.839572,5458814.68905
Other Theft,2015,7,8XX ROBSON ST,Central Business District,491204.839572,5458814.68905
Other Theft,2015,11,8XX ROBSON ST,Central Business District,491204.839572,5458814.68905
Offence Against a Person,2015,9,OFFSET TO PROTECT PRIVACY,,0.0,0.0
Other Theft,2015,11,1XX W PENDER ST,Central Business District,492154.689525,5458707.75871
Offence Against a Person,2015,2,OFFSET TO PROTECT PRIVACY,,0.0,0.0
Mischief,2015,7,3X W PENDER ST,Central Business District,492310.156622,5458674.5229199985
Theft from Vehicle,2015,12,57XX CREE ST,Sunset,492724.126209,5453350.92365
Mischief,2015,7,23XX WALL ST,Grandview-Woodland,495698.731796,5459628.594819998
Mischief,2015,4,23XX WALL ST,Grandview-Woodland,495698.731796,5459628.594819998
Mischief,2015,9,23XX W KING EDWARD AVE,Arbutus Ridge,488402.310983,5455214.58604
Mischief,2015,5,23XX W BROADWAY AVE,Kitsilano,488521.998746,5456800.6130300015
Mischief,2015,4,23XX W BROADWAY AVE,Kitsilano,488401.585103,5456803.9619
Mischief,2015,1,23XX W 8TH AVE,Kitsilano,488516.514903,5456902.2792
Theft from Vehicle,2015,5,32XX E 17TH AVE,Renfrew-Collingwood,497381.71359700005,5455771.52012
Mischief,2015,1,23XX W 4TH AVE,Kitsilano,488533.138047,5457277.24601
Other Theft,2015,6,8XX SAWYERS LANE,Fairview,491150.148942,5457097.82878
Mischief,2015,12,23XX W 1ST AVE,Kitsilano,488461.892991,5457576.445719998
Theft from Vehicle,2015,7,35XX GRAVELEY ST,Hastings-Sunrise,498045.034064,5457503.39436
Theft from Vehicle,2015,5,35XX GRAVELEY ST,Hastings-Sunrise,498063.04237,5457512.21391
Mischief,2015,7,23XX VINE ST,Kitsilano,488537.360159,5456994.70766
Other Theft,2015,3,8XX SEYMOUR ST,Central Business District,491279.286508,5458581.79386
Theft from Vehicle,2015,5,32XX E 17TH AVE,Renfrew-Collingwood,497454.056451,5455770.8412
Other Theft,2015,2,8XX SEYMOUR ST,Central Business District,491281.432108,5458596.98701
Offence Against a Person,2015,4,OFFSET TO PROTECT PRIVACY,,0.0,0.0
Mischief,2015,12,23XX RENFREW ST,Hastings-Sunrise,496779.35585,5456697.3871800015
Other Theft,2015,2,8XX SEYMOUR ST,Central Business District,491305.231658,5458621.10623
Other Theft,2015,11,8XX SEYMOUR ST,Central Business District,491305.231658,5458621.10623
Theft from Vehicle,2015,9,35XX KINGSWAY AVE,Killarney,497873.723903,5453247.43102
Other Theft,2015,12,1XX W PENDER ST,Central Business District,492154.689525,5458707.75871
Theft from Vehicle,2015,11,35XX KINGSWAY AVE,Killarney,497879.388687,5453247.86295
Other Theft,2015,12,8XX SEYMOUR ST,Central Business District,491316.049637,5458632.06951
Theft from Vehicle,2015,10,57XX CREE ST,Sunset,492722.48664,5453291.41636
Break and Enter Residential/Other,2015,9,28XX E BROADWAY AVE,Hastings-Sunrise,496722.268094,5456583.150769998
Mischief,2015,12,23XX KINGSWAY AVE,Renfrew-Collingwood,495908.410647,5454243.17971
Mischief,2015,8,23XX KINGSWAY AVE,Renfrew-Collingwood,495900.507559,5454248.67011
Mischief,2015,8,23XX HERMON DR,Hastings-Sunrise,497765.101238,5456701.10563
Mischief,2015,2,23XX GRANVILLE ST,Fairview,489928.159087,5456957.78706
Mischief,2015,1,23XX GRANVILLE ST,Fairview,489918.41647,5456934.01581
Mischief,2015,11,23XX GRANDVIEW HWY S,Kensington-Cedar Cottage,495802.459739,5456141.22176
Theft from Vehicle,2015,9,35XX KINGSWAY AVE,Renfrew-Collingwood,497882.847672,5453257.29725
Theft from Vehicle,2015,12,35XX KINGSWAY AVE,Renfrew-Collingwood,497882.847672,5453257.29725
Mischief,2015,5,23XX GLEN DR,Mount Pleasant,494087.776407,5456832.18663
Mischief,2015,12,23XX E HASTINGS ST,Grandview-Woodland,495844.807655,5458718.97956
Mischief,2015,7,23XX E BROADWAY AVE,Kensington-Cedar Cottage,495873.727421,5456595.57166
Mischief,2015,2,23XX E 8TH AVE,Grandview-Woodland,495808.967588,5456718.03469
Mischief,2015,10,23XX E 3RD AVE,Grandview-Woodland,495782.048313,5457212.16396
Theft from Vehicle,2015,11,35XX KINGSWAY AVE,Killarney,497985.419151,5453255.37414
Theft from Vehicle,2015,12,35XX KINGSWAY AVE,Killarney,497985.419151,5453255.37414
Mischief,2015,2,23XX CYPRESS ST,Kitsilano,489231.601276,5456977.06144
Other Theft,2015,9,39XX W 51ST AVE,Musqueam,485972.217824,5452564.80751
Other Theft,2015,5,8XX SMITHE ST,Central Business District,491088.596706,5458699.5346800005
Other Theft,2015,6,8XX SMITHE ST,Central Business District,491088.596706,5458699.5346800005
Other Theft,2015,8,8XX SMITHE ST,Central Business District,491088.596706,5458699.5346800005
Other Theft,2015,8,8XX SMITHE ST,Central Business District,491088.596706,5458699.5346800005
Other Theft,2015,8,8XX SMITHE ST,Central Business District,491088.596706,5458699.5346800005
Other Theft,2015,8,8XX SMITHE ST,Central Business District,491088.596706,5458699.5346800005
Theft from Vehicle,2015,5,35XX KINGSWAY AVE,Renfrew-Collingwood,497991.874841,5453264.91763
Other Theft,2015,9,8XX SMITHE ST,Central Business District,491088.596706,5458699.5346800005
Mischief,2015,6,23XX CORNWALL AVE,Kitsilano,488544.560558,5457770.20579
Mischief,2015,11,23XX COMMERCIAL DR,Grandview-Woodland,494928.476467,5456771.17096
Break and Enter Residential/Other,2015,5,28XX E GEORGIA ST,Hastings-Sunrise,496716.778025,5458387.80405
Mischief,2015,11,23XX CASSIAR ST,Hastings-Sunrise,497738.928517,5456772.604309998
Theft from Vehicle,2015,1,35XX KINGSWAY AVE,Killarney,498063.171822,5453259.99137
Mischief,2015,12,3X W HASTINGS ST,Central Business District,492345.744172,5458775.56276
Theft from Vehicle,2015,3,35XX KNIGHT ST,Kensington-Cedar Cottage,494473.969421,5455633.83412
Other Theft,2015,9,12XX E 17TH AVE,Kensington-Cedar Cottage,494323.878654,5455839.62842
Theft from Vehicle,2015,5,35XX LAKEWOOD ST,Kensington-Cedar Cottage,495499.198576,5455366.743480002
Break and Enter Residential/Other,2015,6,28XX E HASTINGS ST,Hastings-Sunrise,496773.814413,5458716.78372
Other Theft,2015,11,8XX SW MARINE DR,Marpole,490870.5486850001,5450432.10106
Other Theft,2015,7,E 33RD AVE / SLOCAN ST,Renfrew-Collingwood,496039.724405,5454114.27826
Other Theft,2015,12,8XX SW MARINE DR,Marpole,490876.953655,5450436.15658
Break and Enter Residential/Other,2015,2,28XX EUCLID AVE,Renfrew-Collingwood,496492.920057,5454392.08864
Theft from Vehicle,2015,12,57XX CLARENDON ST,Victoria-Fraserview,495984.887122,5453181.54445
Theft from Vehicle,2015,2,35XX LOUGHEED HWY,Renfrew-Collingwood,497996.618463,5456806.192969998
Mischief,2015,6,23XX ASH ST,Fairview,491459.6324,5456901.59406
Mischief,2015,1,3X W HASTINGS ST,Central Business District,492338.087745,5458777.72647
Theft from Vehicle,2015,3,35XX MAIN ST,Riley Park,492663.699668,5455660.911669998
Other Theft,2015,8,8XX TERMINAL AVE,Strathcona,493797.625219,5457518.890269998
Theft from Vehicle,2015,12,35XX MALTA AVE,Renfrew-Collingwood,498068.23172200006,5455831.12345
Other Theft,2015,12,8XX TERMINAL AVE,Strathcona,493813.215254,5457514.66656
Mischief,2015,10,22XX W BROADWAY AVE,Kitsilano,488539.399673,5456809.2781
